Race,Montgomery,Juneau,Phoenix,Little Rock,Sacramento,Denver,Hartford,Dover,Tallahassee,Atlanta,Honolulu,Boise,Springfield,Indianapolis,Des Moines,Topeka,Frankfort,Baton Rouge,Augusta,Annapolis,Boston,Lansing,Saint Paul,Jackson,Jefferson City,Helena,Lincoln,Carson City,Concord,Trenton,Santa Fe,Albany,Raleigh,Bismarck,Columbus,Oklahoma City,Salem,Harrisburg,Providence,Columbia,Pierre,Nashville,Austin,Salt Lake City,Montpelier,Richmond,Olympia,Charleston,Madison,Cheyenne,USA
White,65016,21569,773166,85239,192129,384686,22589,18450,109360,193003,74795,200237,86358,528187,168430,80509,22235,80662,17218,20683,308900,74727,186090,32768,34032,30437,229632,42999,40137,28531,41694,53114,252679,65289,513972,397620,138805,21907,76450,64402,11986,423433,493199,145411,6776,108682,41423,40006,203589,55064,195223627
Black or African American,120120,551,112681,83068,74017,67669,47255,15012,64976,256340,6610,2404,21589,253459,22225,28482,3784,121215,333,11993,175228,24514,48063,123844,6160,233,14243,895,524,43306,1053,27530,138902,877,256986,94983,3407,23236,30040,59396,84,195269,90133,5816,73,109611,1462,3624,18957,1108,45077102
American Indian and Alaska Native,793,4638,43339,987,2625,9562,366,153,600,997,1044,1442,228,2659,654,633,55,665,185,118,2770,592,3389,321,129,1331,2616,727,131,170,9392,195,1896,3729,2696,25547,1973,98,1619,271,1166,2100,5064,2206,15,697,866,92,1039,1499,4308841
Asian,3370,2141,119615,4735,176381,27950,5983,1184,8597,22941,151330,6731,2056,31904,11766,4431,359,7091,240,2359,67875,7935,50220,1446,560,233,19766,3635,873,6623,1404,7393,23229,658,51218,27512,13629,886,12232,2571,84,27296,65827,11633,110,6735,3628,459,18957,847,20881305
Native Hawaiian and Other Pacific Islander,198,357,3467,395,2625,1471,122,38,200,499,29918,481,114,886,218,127,28,222,0,39,693,118,924,0,0,33,291,168,0,85,176,97,474,73,899,1310,717,0,360,135,0,700,1013,2006,0,232,162,0,260,65,994348
Two or More Races,4757,3179,84944,5327,24672,32364,3541,1261,5798,13465,14263,7452,2627,24814,5883,4051,608,5762,518,1455,23548,4382,13556,2249,948,965,9592,2460,1091,2887,3335,3405,17541,2486,34145,28167,7353,1132,6836,3518,365,23796,38484,8023,147,6270,2274,963,8569,1890,9943478
Hispanic or Latino,7731,3373,738495,13220,146459,224339,52994,3514,13795,49872,36876,18990,3198,88622,13509,17722,884,10858,277,3224,137135,7461,32350,4498,1249,1164,31102,13699,1658,11803,44502,8366,57362,2120,57507,112670,26542,1920,52706,7036,379,76288,349391,49139,139,14630,4873,688,19216,5865,63306813
