"Reporting Period","Period beginning","Year","Month","Day","Transportation_ID","Passengers [mln]"
3,2019-05-26,2019,"05","26","T5",13.7913300502682
4,2019-06-23,2019,"06","23","T5",14.8319911631537
5,2019-07-21,2019,"07","21","T5",12.9487181451396
6,2019-08-18,2019,"08","18","T5",13.5231198871213
7,2019-09-15,2019,"09","15","T5",17.8206319924178
8,2019-10-13,2019,"10","13","T5",17.1082871049106
9,2019-11-10,2019,"11","10","T5",15.8314069254016
10,2019-12-08,2019,"12","08","T5",10.587197790917
11,2020-01-05,2020,"01","05","T5",14.056911476518
12,2020-02-02,2020,"02","02","T5",15.6082052599404
13,2020-03-01,2020,"03","01","T5",12.954588009164
1,2020-04-01,2020,"04","01","T5",0.999692677855827
2,2020-05-03,2020,"05","03","T5",1.4918895512743
3,2020-05-31,2020,"05","31","T5",2.79774372294329
4,2020-06-28,2020,"06","28","T5",4.49008617201889
5,2020-07-26,2020,"07","26","T5",5.07318234692282
6,2020-08-23,2020,"08","23","T5",6.61931978043638
7,2020-09-20,2020,"09","20","T5",8.45566904533946
8,2020-10-18,2020,"10","18","T5",7.08042336872405
9,2020-11-15,2020,"11","15","T5",6.61382142992465
10,2020-12-13,2020,"12","13","T5",3.19293797494419
11,2021-01-10,2021,"01","10","T5",3.49973613566037
12,2021-02-07,2021,"02","07","T5",4.38364971019827
13,2021-03-07,2021,"03","07","T5",4.82523912924942
1,2021-04-01,2021,"04","01","T5",8.64754158873872
2,2021-05-02,2021,"05","02","T5",7.68608770662791
3,2021-05-30,2021,"05","30","T5",7.7778965828386
4,2021-06-27,2021,"06","27","T5",9.5174520147733
5,2021-07-25,2021,"07","25","T5",7.78770836510571
6,2021-08-22,2021,"08","22","T5",8.77200327111332
7,2021-09-19,2021,"09","19","T5",10.6462079391133
8,2021-10-17,2021,"10","17","T5",11.5097026007006
